Pagina|Topic|Contenido|Fecha_Modificacion
Pollution|Cost|" Pollution has a cost.    Manufacturing activities that cause air pollution impose health and clean-up costs on the whole of society. A manufacturing activity that causes air pollution is an example of a negative externality in production. A negative externality in production occurs ""when a firm's production reduces the well-being of others who are not compensated by the firm.""  For example, if a laundry firm exists near a polluting steel manufacturing firm, there will be increased costs for the laundry firm because of the dirt and smoke produced by the steel manufacturing firm.  If external costs exist, such as those created by pollution, the manufacturer will choose to produce more of the product than would be produced if the manufacturer were required to pay all associated environmental costs. Because responsibility or consequence for self-directed action lies partly outside the self, an element of externalization is involved. If there are external benefits, such as in public safety, less of the good may be produced than would be the case if the producer were to receive payment for the external benefits to others. Goods and services that involve negative externalities in production, such as those that produce pollution, tend to be overproduced and underpriced since the externality is not being priced into the market. Pollution can also create costs for the firms producing the pollution. Sometimes firms choose, or are forced by regulation, to reduce the amount of pollution that they are producing. The associated costs of doing this are called abatement costs, or marginal abatement costs if measured by each additional unit.  In 2005 pollution abatement capital expenditures and operating costs in the US amounted to nearly $27 billion."|2023-08-27-09-39-07
Pollution|Dirtiest industries| The Pure Earth, an international non-for-profit organization dedicated to eliminating life-threatening pollution in the developing world, issues an annual list of some of the world's most polluting industries. Below is the list for 2016: A 2018 report by the Institute for Agriculture and Trade Policy and GRAIN says that the meat and dairy industries are poised to surpass the oil industry as the world's worst polluters.|2023-08-27-09-39-07
Pollution|Textile industry|" The textile industry is one of the largest polluters in the globalized world of mostly free market dominated socioeconomic systems.[citation needed] Chemically polluted textile wastewater degrades the quality of the soil and water.  The pollution comes from the type of conduct of chemical treatments used e.g., in pretreatment, dyeing, printing, and finishing operations  that many or most market-driven companies use despite ""eco-friendly alternatives"". Textile industry wastewater is considered to be one the largest polluters of water and soil ecosystems, causing ""carcinogenic, mutagenic, genotoxic, cytotoxic and allergenic threats to living organisms"".   The textile industry uses over 8000 chemicals in its supply chain,  also polluting the environment with large amounts of microplastics  and has been identified in one review as the industry sector producing the largest amount of pollution. A campaign of big clothing brands like Nike, Adidas and Puma to voluntarily reform their manufacturing supply chains to commit to achieving zero discharges of hazardous chemicals by 2020 (global goal)   appears to have failed."|2023-08-27-09-39-07
Pollution|Fossil fuel related industries| Outdoor air pollution attributable to fossil fuel use alone causes ~3.61 million deaths annually, making it one of the top contributors to human death, beyond being a major driver of climate change whereby greenhouse gases are considered per se as a form of pollution (see above).|2023-08-27-09-39-07
Pollution|Socially optimal level|" Society derives some indirect utility from pollution; otherwise, there would be no incentive to pollute. This utility may come from the consumption of goods and services that inherently create pollution (albeit the level can vary) or lower prices or lower required efforts (or inconvenience) to abandon or substitute these goods and services. Therefore, it is important that policymakers attempt to balance these indirect benefits with the costs of pollution in order to achieve an efficient outcome. [additional citation(s) needed] It is possible to use environmental economics to determine which level of pollution is deemed the social optimum. For economists, pollution is an ""external cost and occurs only when one or more individuals suffer a loss of welfare"". There is a socially optimal level of pollution at which welfare is maximized.  This is because consumers derive utility from the good or service manufactured, which will outweigh the social cost of pollution until a certain point. At this point the damage of one extra unit of pollution to society, the marginal cost of pollution, is exactly equal to the marginal benefit of consuming one more unit of the good or service. Moreover, the feasibility of pollution reduction rates could also be a factor of calculating optimal levels. While a study puts the global mean loss of life expectancy (LLE; similar to YPLL) from air pollution in 2015 at 2.9 years (substantially more than, for example, 0.3 years from all forms of direct violence), it also indicated that a significant fraction of the LLE is unavoidable in terms of current economical-technological feasibility such as aeolian dust and wildfire emission control. In markets with pollution, or other negative externalities in production, the free market equilibrium will not account for the costs of pollution on society. If the social costs of pollution are higher than the private costs incurred by the firm, then the true supply curve will be higher. The point at which the social marginal cost and market demand intersect gives the socially optimal level of pollution. At this point, the quantity will be lower and the price will be higher in comparison to the free market equilibrium.  Therefore, the free market outcome could be considered a market failure because it ""does not maximize efficiency"". This model can be used as a basis to evaluate different methods of internalizing the externality. Some examples include tariffs, a carbon tax and cap and trade systems."|2023-08-27-09-39-07
Pollution|Prior to 19th century|" Air pollution has always accompanied civilizations. Pollution started from prehistoric times, when man created the first fires. According to a 1983 article in the journal Science, ""soot"" found on ceilings of prehistoric caves provides ample evidence of the high levels of pollution that was associated with inadequate ventilation of open fires."" Metal forging appears to be a key turning point in the creation of significant air pollution levels outside the home. Core samples of glaciers in Greenland indicate increases in pollution associated with Greek, Roman, and Chinese metal production. The burning of coal and wood, and the presence of many horses in concentrated areas made the cities the primary sources of pollution. King Edward I of England banned the burning of sea-coal by proclamation in London in 1272, after its smoke became a problem;   the fuel was so common in England that this earliest of names for it was acquired because it could be carted away from some shores by the wheelbarrow."|2023-08-27-09-39-07
Pollution|19th century| It was the Industrial Revolution that gave birth to environmental pollution as we know it today. London also recorded one of the earlier extreme cases of water quality problems with the Great Stink on the Thames of 1858, which led to construction of the London sewerage system soon afterward. Pollution issues escalated as population growth far exceeded viability of neighborhoods to handle their waste problem. Reformers began to demand sewer systems and clean water. In 1870, the sanitary conditions in Berlin were among the worst in Europe. August Bebel recalled conditions before a modern sewer system was built in the late 1870s: Waste-water from the houses collected in the gutters running alongside the curbs and emitted a truly fearsome smell. There were no public toilets in the streets or squares. Visitors, especially women, often became desperate when nature called. In the public buildings the sanitary facilities were unbelievably primitive....As a metropolis, Berlin did not emerge from a state of barbarism into civilization until after 1870.|2023-08-27-09-39-07
Pollution|20th and 21st century|" The primitive conditions were intolerable for a world national capital, and the Imperial German government brought in its scientists, engineers, and urban planners to not only solve the deficiencies, but to forge Berlin as the world's model city. A British expert in 1906 concluded that Berlin represented ""the most complete application of science, order and method of public life,"" adding ""it is a marvel of civic administration, the most modern and most perfectly organized city that there is."" The emergence of great factories and consumption of immense quantities of coal gave rise to unprecedented air pollution and the large volume of industrial chemical discharges added to the growing load of untreated human waste. Chicago and Cincinnati were the first two American cities to enact laws ensuring cleaner air in 1881. Pollution became a major issue in the United States in the early twentieth century, as progressive reformers took issue with air pollution caused by coal burning, water pollution caused by bad sanitation, and street pollution caused by the three million horses who worked in American cities in 1900, generating large quantities of urine and manure. As historian Martin Melosi notes, the generation that first saw automobiles replacing the horses saw cars as ""miracles of cleanliness"".  By the 1940s, automobile-caused smog was a major issue in Los Angeles. Other cities followed around the country until early in the 20th century, when the short lived Office of Air Pollution was created under the Department of the Interior. Extreme smog events were experienced by the cities of Los Angeles and Donora, Pennsylvania, in the late 1940s, serving as another public reminder. Air pollution would continue to be a problem in England, especially later during the industrial revolution, and extending into the recent past with the Great Smog of 1952. Awareness of atmospheric  pollution spread widely after World War II, with fears triggered by reports of radioactive fallout from atomic warfare and testing.  Then a non-nuclear event – the Great Smog of 1952 in London – killed at least 4000 people.  This prompted some of the first major modern environmental legislation: the Clean Air Act of 1956. Pollution began to draw major public attention in the United States between the mid-1950s and early 1970s, when Congress passed the Noise Control Act, the Clean Air Act, the Clean Water Act, and the National Environmental Policy Act. Severe incidents of pollution helped increase consciousness. PCB dumping in the Hudson River resulted in a ban by the EPA on consumption of its fish in 1974. National news stories in the late 1970s – especially the long-term dioxin contamination at Love Canal starting in 1947 and uncontrolled dumping in Valley of the Drums – led to the Superfund legislation of 1980.  The pollution of industrial land gave rise to the name brownfield, a term now common in city planning. The development of nuclear science introduced radioactive contamination, which can remain lethally radioactive for hundreds of thousands of years. Lake Karachay – named by the Worldwatch Institute as the ""most polluted spot"" on earth – served as a disposal site for the Soviet Union throughout the 1950s and 1960s. Chelyabinsk, Russia, is considered the ""Most polluted place on the planet"". Nuclear weapons continued to be tested in the Cold War, especially in the earlier stages of their development. The toll on the worst-affected populations and the growth since then in understanding about the critical threat to human health posed by radioactivity has also been a prohibitive complication associated with nuclear power. Though extreme care is practiced in that industry, the potential for disaster suggested by incidents such as those at Three Mile Island, Chernobyl, and Fukushima pose a lingering specter of public mistrust. Worldwide publicity has been intense on those disasters.  Widespread support for test ban treaties has ended almost all nuclear testing in the atmosphere. International catastrophes such as the wreck of the Amoco Cadiz oil tanker off the coast of Brittany in 1978 and the Bhopal disaster in 1984 have demonstrated the universality of such events and the scale on which efforts to address them needed to engage. The borderless nature of atmosphere and oceans inevitably resulted in the implication of pollution on a planetary level with the issue of global warming. Most recently the term persistent organic pollutant (POP) has come to describe a group of chemicals such as PBDEs and PFCs among others. Though their effects remain somewhat less well understood owing to a lack of experimental data, they have been detected in various ecological habitats far removed from industrial activity such as the Arctic, demonstrating diffusion and bioaccumulation after only a relatively brief period of widespread use. A much more recently discovered problem is the Great Pacific Garbage Patch, a huge concentration of plastics, chemical sludge and other debris which has been collected into a large area of the Pacific Ocean by the North Pacific Gyre. This is a less well known pollution problem than the others described above, but nonetheless has multiple and serious consequences such as increasing wildlife mortality, the spread of invasive species and human ingestion of toxic chemicals. Organizations such as 5 Gyres have researched the pollution and, along with artists like Marina DeBris, are working toward publicizing the issue. Pollution introduced by light at night is becoming a global problem, more severe in urban centres, but nonetheless contaminating also large territories, far away from towns. Growing evidence of local and global pollution and an increasingly informed public over time have given rise to environmentalism and the environmental movement, which generally seek to limit human impact on the environment."|2023-08-27-09-39-07
Pollution|See also| Air pollution Soil contamination Water pollution Other|2023-08-27-09-39-07
Acid rain|General| Lists Categories Acid rain is rain or any other form of precipitation that is unusually acidic, meaning that it has elevated levels of hydrogen ions (low pH). Most water, including drinking water, has a neutral pH that exists between 6.5 and 8.5, but acid rain has a pH level lower than this and ranges from 4–5 on average.   The more acidic the acid rain is, the lower its pH is.  Acid rain can have harmful effects on plants, aquatic animals, and infrastructure. Acid rain is caused by emissions of sulfur dioxide and nitrogen oxide, which react with the water molecules in the atmosphere to produce acids. Acid rain has been shown to have adverse impacts on forests, freshwaters, soils, microbes, insects and aquatic life-forms.  In ecosystems, persistent acid rain reduces tree bark durability, leaving flora more susceptible to environmental stressors such as drought, heat/cold and pest infestation. Acid rain is also capable of detrimenting soil composition by stripping it of nutrients such as calcium and magnesium which play a role in plant growth and maintaining healthy soil. In terms of human infrastructure, acid rain also causes paint to peel, corrosion of steel structures such as bridges, and weathering of stone buildings and statues as well as having impacts on human health. Some governments, including those in Europe and North America, have made efforts since the 1970s to reduce the release of sulfur dioxide and nitrogen oxide into the atmosphere through air pollution regulations. These efforts have had positive results due to the widespread research on acid rain starting in the 1960s and the publicized information on its harmful effects.   The main source of sulfur and nitrogen compounds that result in acid rain are anthropogenic, but nitrogen oxides can also be produced naturally by lightning strikes and sulfur dioxide is produced by volcanic eruptions.|2023-09-22-15-49-28
Acid rain|Definition|" ""Acid rain"" is a popular term referring to the deposition of a mixture from wet (rain, snow, sleet, fog,  cloudwater, and dew) and dry (acidifying particles and gases) acidic components. Distilled water, once carbon dioxide is removed, has a neutral pH of 7.  Liquids with a pH less than 7 are acidic, and those with a pH greater than 7 are alkaline. ""Clean"" or unpolluted rain has an acidic pH, but usually no lower than 5.7, because carbon dioxide and water in the air react together to form carbonic acid, a weak acid according to the following reaction: Carbonic acid then can ionize in water forming low concentrations of carbonate and hydronium ions: Unpolluted rain can also contain other chemicals which affect its pH (acidity level). A common example is nitric acid produced by electric discharge in the atmosphere such as lightning.  Acid deposition as an environmental issue (discussed later in the article) would include additional acids other than H2CO3. Occasional pH readings in rain and fog water of well below 2.4 have been reported in industrialized areas. The main sources of the SO2 and NOx pollution that causes acid rain are burning fossil fuels to generate electricity and power internal combustion vehicles, to refine oil, and in industrial manufacturing and other processes."|2023-09-22-15-49-28
Acid rain|History| Acid rain was first systematically studied in Europe, in the 1960s, and in the United States and Canada, the following decade.|2023-09-22-15-49-28
Acid rain|In Europe|" The corrosive effect of polluted, acidic city air on limestone and marble was noted in the 17th century by John Evelyn, who remarked upon the poor condition of the Arundel marbles. 
Since the Industrial Revolution, emissions of sulfur dioxide and nitrogen oxides into the atmosphere have increased.   In 1852, Robert Angus Smith was the first to show the relationship between acid rain and atmospheric pollution in Manchester, England.  Smith coined the term ""acid rain"" in 1872. In the late 1960s, scientists began widely observing and studying the phenomenon.  At first, the main focus in this research lay on local effects of acid rain. Waldemar Christofer Brøgger was the first to acknowledge long-distance transportation of pollutants crossing borders from the United Kingdom to Norway – a problem systematically studied by Brynjulf Ottar in the 1970s.  Ottar's work was strongly influenced  by Swedish soil scientist Svante Odén, who had drawn widespread attention to Europe's acid rain problem in popular newspapers and wrote a landmark paper on the subject in 1968."|2023-09-22-15-49-28
Acid rain|In the United States|" The earliest report about acid rain in the United States came from chemical evidence gathered from Hubbard Brook Valley; public awareness of acid rain in the US increased in the 1970s after The New York Times reported on these findings. In 1972, a group of scientists including Gene Likens discovered the rain that was deposited at White Mountains of New Hampshire was acidic. The pH of the sample was measured to be 4.03 at Hubbard Brook.  The Hubbard Brook Ecosystem Study followed up with a series of research studies that analyzed the environmental effects of acid rain. Acid rain that mixed with stream water at Hubbard Brook was neutralized by the alumina from soils.  The result of this research indicated that the chemical reaction between acid rain and aluminium leads to an increasing rate of soil weathering. Experimental research was done to examine the effects of increased acidity in streams on ecological species. In 1980, a group of scientists modified the acidity of Norris Brook, New Hampshire, and observed the change in species' behaviors. There was a decrease in species diversity, an increase in community dominants, and a decrease in the food web complexity. In 1980, the US Congress passed an Acid Deposition Act.  This Act established an 18-year assessment and research program under the direction of the National Acidic Precipitation Assessment Program (NAPAP). NAPAP enlarged a network of monitoring sites to determine how acidic the precipitation actually was, seeking to determine long-term trends, and established a network for dry deposition. Using a statistically based sampling design, NAPAP quantified the effects of acid rain on a regional basis by targeting research and surveys to identify and quantify the effects of acid precipitation on freshwater and terrestrial ecosystems. NAPAP also assessed the effects of acid rain on historical buildings, monuments, and building materials. It also funded extensive studies on atmospheric processes and potential control programs. From the start, policy advocates from all sides attempted to influence NAPAP activities to support their particular policy advocacy efforts, or to disparage those of their opponents.   For the US Government's scientific enterprise, a significant impact of NAPAP were lessons learned in the assessment process and in environmental research management to a relatively large group of scientists, program managers, and the public. In 1981, the National Academy of Sciences was looking into research about the controversial issues regarding acid rain.  President Ronald Reagan dismissed the issues of acid rain  until his personal visit to Canada and confirmed that the Canadian border suffered from the drifting pollution from smokestacks originating in the US Midwest. Reagan honored the agreement to Canadian Prime Minister Pierre Trudeau's enforcement of anti-pollution regulation.  In 1982, Reagan commissioned William Nierenberg to serve on the National Science Board.  Nierenberg selected scientists including Gene Likens to serve on a panel to draft a report on acid rain. In 1983, the panel of scientists came up with a draft report, which concluded that acid rain is a real problem and solutions should be sought.  White House Office of Science and Technology Policy reviewed the draft report and sent Fred Singer's suggestions of the report, which cast doubt on the cause of acid rain.  The panelists revealed rejections against Singer's positions and submitted the report to Nierenberg in April. In May 1983, the House of Representatives voted against legislation that aimed to control sulfur emissions. There was a debate about whether Nierenberg delayed to release the report. Nierenberg himself denied the saying about his suppression of the report and stated that the report was withheld after the House's vote because it was not ready to be published. In 1991, the US National Acid Precipitation Assessment Program (NAPAP) provided its first assessment of acid rain in the United States.  It reported that 5% of New England Lakes were acidic, with sulfates being the most common problem. They noted that 2% of the lakes could no longer support Brook Trout, and 6% of the lakes were unsuitable for the survival of many species of minnow. Subsequent Reports to Congress have documented chemical changes in soil and freshwater ecosystems, nitrogen saturation, decreases in amounts of nutrients in soil, episodic acidification, regional haze, and damage to historical monuments. Meanwhile, in 1990, the US Congress passed a series of amendments to the Clean Air Act.  Title IV of these amendments established a cap and trade system designed to control emissions of sulfur dioxide and nitrogen oxides.  Title IV called for a total reduction of about 10 million tons of SO2 emissions from power plants, close to a 50% reduction.  It was implemented in two phases. Phase I began in 1995, and limited sulfur dioxide emissions from 110 of the largest power plants to a combined total of 8.7 million tons of sulfur dioxide. One power plant in New England (Merrimack) was in Phase I. Four other plants (Newington, Mount Tom, Brayton Point, and Salem Harbor) were added under other provisions of the program. Phase II began in 2000, and affects most of the power plants in the country. During the 1990s, research continued. On March 10, 2005, the EPA issued the Clean Air Interstate Rule (CAIR). This rule provides states with a solution to the problem of power plant pollution that drifts from one state to another. CAIR will permanently cap emissions of SO2 and NOx in the eastern United States. When fully implemented[when?], CAIR will reduce SO2 emissions in 28 eastern states and the District of Columbia by over 70% and NOx emissions by over 60% from 2003 levels. Overall, the program's cap and trade program has been successful in achieving its goals. Since the 1990s, SO2 emissions have dropped 40%, and according to the Pacific Research Institute, acid rain levels have dropped 65% since 1976.  Conventional regulation was used in the European Union, which saw a decrease of over 70% in SO2 emissions during the same time period. In 2007, total SO2 emissions were 8.9 million tons, achieving the program's long-term goal ahead of the 2010 statutory deadline. In 2007 the EPA estimated that by 2010, the overall costs of complying with the program for businesses and consumers would be $1 billion to $2 billion a year, only one fourth of what was originally predicted.  Forbes says: ""In 2010, by which time the cap and trade system had been augmented by the George W. Bush administration's Clean Air Interstate Rule, SO2 emissions had fallen to 5.1 million tons."" The term citizen science can be traced back as far as January 1989 to a campaign by the Audubon Society to measure acid rain. Scientist Muki Haklay cites in a policy report for the Wilson Center entitled 'Citizen Science and Policy: A European Perspective' a first use of the term 'citizen science' by R. Kerson in the magazine MIT Technology Review from January 1989.   Quoting from the Wilson Center report: ""The new form of engagement in science received the name ""citizen science"". The first recorded example of the use of the term is from 1989, describing how 225 volunteers across the US collected rain samples to assist the Audubon Society in an acid-rain awareness raising campaign. The volunteers collected samples, checked for acidity, and reported back to the organization. The information was then used to demonstrate the full extent of the phenomenon."""|2023-09-22-15-49-28
