Contenido,Cluster
"Similar general population cadmium exposures in other parts of the world have not resulted in the same health problems because the populations maintained sufficient iron and other mineral levels. Thus, although cadmium is a major factor in the itai-itai disease in Japan, most researchers have concluded that it was one of several factors.Cadmium is one of six substances banned by the European Union's Restriction of Hazardous Substances (RoHS) directive, which regulates hazardous substances in electrical and electronic equipment, but allows for certain exemptions and exclusions from the scope of the law.The",1
"exposure is associated with a large number of illnesses including kidney disease, early atherosclerosis, hypertension, and cardiovascular diseases. Although studies show a significant correlation between cadmium exposure and occurrence of disease in human populations, a molecular mechanism has not yet been identified. One hypothesis holds that cadmium is an endocrine disruptor and some experimental studies have shown that it can interact with different hormonal signaling pathways. For example, cadmium can bind to the estrogen receptor alpha, and affect signal transduction along the estrogen and MAPK signaling pathways at low doses.The",1
"tobacco plant absorbs and accumulates heavy metals such as cadmium from the surrounding soil into its leaves. Following tobacco smoke inhalation, these are readily absorbed into the body of users. Tobacco smoking is the most important single source of cadmium exposure in the general population. An estimated 10% of the cadmium content of a cigarette is inhaled through smoking. Absorption of cadmium through the lungs is more effective than through the gut. As much as 50% of the cadmium inhaled in cigarette smoke may be absorbed.",1
"On average, cadmium concentrations in the blood of smokers is 4 to 5 times greater than non-smokers and in the kidney, 2–3 times greater than in non-smokers. Despite the high cadmium content in cigarette smoke, there seems to be little exposure to cadmium from passive smoking.In a non-smoking population, food is the greatest source of exposure. High quantities of cadmium can be found in crustaceans, mollusks, offal, frog legs, cocoa solids, bitter and semi-bitter chocolate, seaweed, fungi and algae products. However, grains, vegetables, and starchy roots and tubers are consumed in much greater quantity in the U.S.,",1
"and are the source of the greatest dietary exposure there. Most plants bio-accumulate metal toxins such as cadmium and when composted to form organic fertilizers, yield a product that often can contain high amounts (e.g., over 0.5 mg) of metal toxins for every kilogram of fertilizer. Fertilizers made from animal dung (e.g., cow dung) or urban waste can contain similar amounts of cadmium. The cadmium added to the soil from fertilizers (rock phosphates or organic fertilizers) become bio-available and toxic only if the soil pH is low (i.e., acidic soils).",1
"Occupational Safety and Health Administration (OSHA) has set the permissible exposure limit (PEL) for cadmium at a time-weighted average (TWA) of 0.005 ppm. The National Institute for Occupational Safety and Health (NIOSH) has not set a recommended exposure limit (REL) and has designated cadmium as a known human carcinogen. The IDLH (immediately dangerous to life and health) level for cadmium is 9 mg/m3. In addition to mercury, the presence of cadmium in some batteries has led to the requirement of proper disposal (or recycling) of batteries.",1
"Caesium-137 has a half-life of about 30.05 years. About 94.6% decays by beta emission to a metastable nuclear isomer of barium: barium-137m (137mBa, Ba-137m). The remainder directly populates the ground state of 137Ba, which is stable. Barium-137m has a half-life of about 153 seconds, and is responsible for all of the gamma ray emissions in samples of 137Cs. Barium-137m decays to the ground state by emission of photons having energy 0.6617 MeV. A total of 85.1% of 137Cs decay generates gamma ray emission in this manner. One gram of 137Cs has an activity of 3.215 terabecquerel (TBq).",1
"However, while 137Cs is a waste product produced in great quantities in nuclear fission reactors, 192Ir and 60Co are specifically produced in commercial and research reactors and their life cycle entails the destruction of the involved high-value elements. Cobalt-60 decays to stable nickel, whereas iridium-192 can decay to either stable osmium or platinum. Due to the residual radioactivity and legal hurdles, the resulting material is not commonly recovered even from ""spent"" radioactive sources, meaning in essence that the entire mass is ""lost"" for non-radioactive uses.",1
": 114 However, unlike group 2 radionuclides like radium and strontium-90, caesium does not bioaccumulate and is excreted relatively quickly. The biological half-life of caesium is about 70 days.A 1961 experiment showed that mice dosed with 21.5 μCi/g had a 50% fatality within 30 days (implying an LD50 of 245 μg/kg). A similar experiment in 1972 showed that when dogs are subjected to a whole body burden of 3800 μCi/kg (140 MBq/kg, or approximately 44 μg/kg) of caesium-137 (and 950 to 1400 rads), they die within 33 days, while animals with half of that burden all survived for a year.",1
"Important researches have shown a remarkable concentration of 137Cs in the exocrine cells of the pancreas, which are those most affected by cancer. In 2003, in autopsies performed on 6 children who died (of reasons not directly linked to Chernobyl, mostly sepsis) in the polluted area near Chernobyl where they also reported a higher incidence of pancreatic tumors, Bandazhevsky found a concentration of 137Cs 3.9 times higher than in their liver (1359 vs 347 Bq/kg, equivalent to 36 and 9.3",1
"nCi/kg in these organs, 600 Bq/kg = 16 nCi/kg in the body according to measurements), thus demonstrating that pancreatic tissue is a strong accumulator and secretor in the intestine of radioactive cesium. Accidental ingestion of caesium-137 can be treated with Prussian blue (FeIII4[FeII(CN)6]3), which binds to it chemically and reduces the biological half-life to 30 days. Caesium-137, along with other radioactive isotopes caesium-134, iodine-131, xenon-133, and strontium-90, were released into the environment during nearly all nuclear weapon tests and some nuclear accidents, most notably the Chernobyl disaster and the Fukushima Daiichi disaster. Caesium-137 in the environment is substantially anthropogenic (human-made).",1
Surface soils and sediments are also dated by measuring the activity of 137Cs.,1
"As of today and for the next few hundred years or so, caesium-137 and strontium-90 continue to be the principal source of radiation in the zone of alienation around the Chernobyl nuclear power plant, and pose the greatest risk to health, owing to their approximately 30 year half-life and biological uptake. The mean contamination of caesium-137 in Germany following the Chernobyl disaster was 2000 to 4000 Bq/m2. This corresponds to a contamination of 1 mg/km2 of caesium-137, totaling about 500 grams deposited over all of Germany.",1
"In Scandinavia, some reindeer and sheep exceeded the Norwegian legal limit (3000 Bq/kg) 26 years after Chernobyl. As of 2016, the Chernobyl caesium-137 has decayed by half, but could have been locally concentrated by much larger factors.",1
"In April 2011, elevated levels of caesium-137 were also being found in the environment after the Fukushima Daiichi nuclear disasters in Japan. In July 2011, meat from 11 cows shipped to Tokyo from Fukushima Prefecture was found to have 1,530 to 3,200 becquerels per kilogram of 137Cs, considerably exceeding the Japanese legal limit of 500 becquerels per kilogram at that time. In March 2013, a fish caught near the plant had a record 740,000 becquerels per kilogram of radioactive caesium, above the 100 becquerels per kilogram government limit.",1
"A 2013 paper in Scientific Reports found that for a forest site 50 km from the stricken plant, 137Cs concentrations were high in leaf litter, fungi and detritivores, but low in herbivores. By the end of 2014, ""Fukushima-derived radiocaesium had spread into the whole western North Pacific Ocean"", transported by the North Pacific current from Japan to the Gulf of Alaska. It has been measured in the surface layer down to 200 meters and south of the current area down to 400 meters.Caesium-137 is reported to be the major health concern in Fukushima.",1
A number of techniques are being considered that will be able to strip out 80% to 95% of the caesium from contaminated soil and other materials efficiently and without destroying the organic material in the soil. These include hydrothermal blasting. The caesium precipitated with ferric ferrocyanide (Prussian blue) would be the only waste requiring special burial sites. The aim is to get annual exposure from the contaminated environment down to 1 mSv above background.,1
"The most contaminated area where radiation doses are greater than 50 mSv/year must remain off limits, but some areas that are currently less than 5 mSv/year may be decontaminated, allowing 22,000 residents to return. Caesium-137 gamma sources have been involved in several radiological accidents and incidents.",1
"In the Goiânia accident of 1987, an improperly disposed of radiation therapy system from an abandoned clinic in Goiânia, Brazil, was removed then cracked to be sold in junkyards, and the glowing caesium salt sold to curious, unadvised buyers. This led to four confirmed deaths and several serious injuries from radiation contamination.",1
"In 1997, several Georgian soldiers suffered radiation poisoning and burns. They were eventually traced back to training sources abandoned, forgotten, and unlabeled after the dissolution of the Soviet Union. One was a caesium-137 pellet in a pocket of a shared jacket that put out about 130,000 times the level of background radiation at 1 meter distance.",1
"In the Acerinox accident of 1998, the Spanish recycling company Acerinox accidentally melted down a mass of radioactive caesium-137 that came from a gamma-ray generator.",1
"In 2009, a Chinese cement company (in Tongchuan, Shaanxi Province) was demolishing an old, unused cement plant and did not follow standards for handling radioactive materials. This caused some caesium-137 from a measuring instrument to be included with eight truckloads of scrap metal on its way to a steel mill, where the radioactive caesium was melted down into the steel.",1
"Thirteen people were exposed to caesium-137 in May 2019 at the Research and Training building in the Harborview Medical Center complex. A contract crew was transferring the caesium from the lab to a truck when the powder was spilled. Five people were decontaminated and released, but 8 who were more directly exposed were taken to the hospital while the research building was evacuated.",1
"Public health authorities in Western Australia issued an emergency alert for a stretch of road measuring about 1,400 km after a capsule containing caesium-137 was lost in transport on 25 January 2023. The 8 mm capsule contained a small quantity of the radioactive material when it disappeared from a truck. The State Government immediately launched a search, with the WA Department of Health's chief health officer Andrew Robertson warning an exposed person could expect to receive the equivalent of ""about 10 X-rays an hour"". Experts warned, if the capsule were found, the public should stay at least 5 metres away.",1
The capsule was found on 1 February 2023.,1
"For example, the safe amount of lead in a product is 100 ppm; however, there have been findings where the amount of lead in a bead surpassed the limit 300 times over. This threatens parade-goers with exposure to high amounts of lead, especially younger children that could potentially put the beads in their mouths. Plastic beads became popular in the 1960s, and were not always a part of Mardi Gras; they were introduced only in the late 1970s. The ritual of throwing Mardi Gras beads dates back to the nineteenth century, particularly the 1970s, in New Orleans.",1
"One study examined identical twins who worked together as painters using lead-based paint. Using magnetic resonance spectroscopy, it was discovered that they both had lead levels in their bones about 5-10 times more than the average adult. One twin put himself at a higher risk of lead exposure because he was the only one that removed paint on the job. His lead concentration was 2.5 times higher than his twin’s; and after further testing, his memory was shown to be much worse than his twin’s.Cadmium has been shown to be carcinogenic due to interactions with DNA topoisomerase IIα.",1
"To support and enforce the restriction on toxic beads and ensure implementation of the non-toxic alternatives, the City of New Orleans could also begin imposing a substantial tax or fee on vendors, entertainers, attendees, and other individuals and businesses associated with Mardi Gras to alleviate the hefty financial cost of clean-up that the city itself must bear every year.",1
"Lorentz or Laplace forces act on conductors plunged in an external magnetic field. Equivalent electromagnetic forces due to the presence of an electrical field can involve electrostatic, electrostrictive and reverse piezoelectric effects. These phenomena can potentially generate vibrations of the ferromagnetic, conductive parts, coils and permanent magnets of electrical, magnetic and electromechanical device, resulting in an audible sound if the frequency of vibrations lies between 20 Hz and 20 kHz, and if the sound level is high enough to be heard (e.g. large surface of radiation and large vibration levels).",1
"Vibration level is increased in case of a mechanical resonance, when electromagnetic forces match with a structural mode natural frequency of the active component (magnetic circuit, electromagnetic coil or electrical circuit) or of its enclosure. The frequency of the noise depends on the nature of electromagnetic forces (quadratic or linear function of electrical field or magnetic field) and on the frequency content of the electromagnetic field (in particular if a DC component is present or not).",1
"Electromagnetic torque, which can be calculated as the average value of the Maxwell stress tensor along the airgap, is one consequence of electromagnetic forces in electric machines. As a static force, it does not create vibrations nor acoustic noise. However torque ripple (also called cogging torque for permanent magnet synchronous machines in open circuit), which represents the harmonic variations of electromagnetic torque, is a dynamic force creating torsional vibrations of both rotor and stator. The torsional deflection of a simple cylinder cannot radiate efficiently acoustic noise, but with particular boundary conditions the stator can radiate acoustic noise under torque ripple excitation.",1
"Structure-borne noise can also be generated by torque ripple when rotor shaft line vibrations propagate to the frame and shaft line. Some tangential magnetic force harmonics can directly create magnetic vibrations and acoustic noise when applied to the stator teeth: tangential forces create a bending moment of the stator teeth, resulting in radial vibrations of the yoke.Besides tangential force harmonics, Maxwell stress also includes radial force harmonics responsible for radial vibrations of the yoke, which in turn can radiate acoustic noise.",1
"In inductors, also called reactors or chokes, magnetic energy is stored in the airgap of the magnetic circuit, where large Maxwell forces apply. Resulting noise and vibrations depend on airgap material and magnetic circuit geometry.",1
"In transformers magnetic noise and vibrations are generated by several phenomena depending on the load case which include Lorentz force on the windings, Maxwell forces in the joints of the laminations, and magnetostriction inside the laminated core.",1
"Capacitors are also subject to large electrostatic forces. When the capacitor voltage/current waveform is not constant and contains time harmonics, some harmonic electric forces appear and acoustic noise can be generated. Ferroelectric capacitors also exhibit a piezoelectric effect that can be source of audible noise. This phenomenon is known as the ""singing capacitor"" effect.",1
"In radial flux rotating electric machines, resonance due to electromagnetic forces is particular as it occurs at two conditions: there must be a match between the exciting Maxwell force and the stator or rotor natural frequency, and between the stator or rotor modal shape and the exciting Maxwell harmonic wavenumber (periodicity of the force along the airgap). As an example a resonance with the elliptical modal shape of the stator can occur if the force wavenumber is 2. Under resonance conditions, the maxima of the electromagnetic excitation along the airgap and the maxima of the modal shape displacement are in phase.",1
The simulation of electromagnetically induced noise and vibrations is a multiphysic modeling process carried in three steps: calculation of the electromagnetic forces calculation of the resulting magnetic vibrations calculation of the resulting magnetic noiseIt is generally considered as a weakly coupled problem: the deformation of the structure under electromagnetic forces is assumed not to change significantly the electromagnetic field distribution and the resulting electromagnetic stress.,1
"The assessment of audible magnetic noise in electrical machines can be done using three methods: using dedicated electromagnetic and vibro-acoustic simulation software (e.g. MANATEE ) using electromagnetic (e.g. Flux, Jmag, Maxwell, Opera), structural (e.g. Ansys Mechanical, Nastran, Optistruct) and acoustic (e.g. Actran, LMS, Sysnoise) numerical software together with dedicated coupling methods using multiphysics numerical simulation software environment (e.g. Comsol Multiphysics, Ansys Workbench)",1
"The harmonic electromagnetic forces responsible for magnetic noise and vibrations in a healthy machine can come from Pulse-width modulation supply of the machine slotting effects magnetic saturationIn a faulty machine, additional noise and vibrations due to electromagnetic forces can come from mechanical static and dynamic eccentricities uneven air-gap demagnetization short circuits missing magnetic wedgesUnbalanced Magnetic Pull (UMP) describes the electromagnetic equivalence of mechanical rotating unbalance: if electromagnetic forces are not balanced, a non-zero net magnetic force appears on stator and rotor. This force can excite the bending mode of the rotor and create additional vibration and noise.",1
"NVH mitigation techniques in electrical machines include reducing the magnitude of electromagnetic excitations, independently of the structural response of the electrical machine reducing the magnitude of the structural response, independently of the electromagnetic excitations reducing the resonances occurring between electromagnetic excitations and structural modesElectromagnetic noise and vibration mitigation techniques in electrical machines include: choosing the right slot/pole combination and winding design avoiding resonances match between stator and electromagnetic excitations skewing the stator or the rotor implementing pole shaping / pole shifting / pole pairing techniques implementing harmonic current injection or spread spectrum PWM strategies using notches / flux barriers on the",1
stator or the rotor increasing damping increasing the frequency outside the audible frequency range,1
"Coil noise mitigation actions include: add some glue (e.g. a layer of glue is often added on the top of television coils ; over the years, this glue degrades and the sound level increases) change the shape of the coil (e.g. change coil shape to a figure eight rather than a traditional coil shape) isolate the coil from the rest of the device to minimize structure-borne noise increase damping A varying electromagnetic force can be produced either by a moving source of DC magnetic field (e.g.",1
"rotating permanent magnet or rotating coil supplied with DC current), or by a steady source of AC magnetic field (e.g. a coil fed by a variable current).",1
This animation illustrates how a ferromagnetic sheet can be deformed due to the magnetic field of a rotating magnet. It corresponds to an ideal one pole pair permanent magnet synchronous machine with a slotless stator.,1
"The resonance effect of magnetic vibration with a structural mode can be illustrated using a tuning fork made of iron. A prong of the tuning fork is wound with a coil fed by a variable frequency power supply. A variable flux density circulates between the two prongs and some dynamic magnetic forces appear between the two prongs at twice the supply frequency. When the exciting force frequency matches the fundamental mode of the tuning fork close to 400 Hz, a strong acoustic resonance occurs.",1
Video of a resonating tuning fork magnetically excited by a variable frequency current on YouTube Video of a tuning fork magnetically excited by a fixed frequency current on YouTube Video of a ferromagnetic cylinder deformed by a rotating magnet on YouTube,1
"Compared with other emissions, sulfate and soot particles have a smaller direct effect: sulfate particles have a cooling effect and reflect radiation, while soot has a warming effect and absorbs heat, while the clouds' properties and formation are influenced by particles. Contrails and cirrus clouds evolving from particles may have a greater radiative forcing effect than CO2 emissions. As soot particles are large enough to serve as condensation nuclei, they are thought to cause the most contrail formation. Soot production may be decreased by reducing the aromatic compound of jet fuel.In",1
"1999, the IPCC estimated aviation's radiative forcing in 1992 to be 2.7 (2 to 4) times that of CO2 alone − excluding the potential effect of cirrus cloud enhancement. This was updated for 2000, with aviation's radiative forcing estimated at 47.8 mW/m2, 1.9 times the effect of CO2 emissions alone, 25.3 mW/m2.In 2005, research by David S. Lee, et al.,",1
"published in the scientific journal Atmospheric Environment estimated the cumulative radiative forcing effect of aviation at 55 mW/m2, which is twice the 28 mW/m2 radiative forcing effect of its CO2 emissions alone, excluding induced cirrus cloud, with a very low level of scientific understanding. In 2012, research from Chalmers university estimated this weighting factor at 1.3–1.4 if aviation induced cirrus is not included, 1.7–1.8 if they are included (within a range of 1.3–2.9).Uncertainties remain on the NOx–O3–CH4 interactions, aviation-produced contrails formation, the effects of soot aerosols on cirrus clouds and measuring non-CO2 radiative forcing.In 2018, CO2 represented 34.3",1
"mW/m2 of aviation's effective radiative forcing (ERF, on the surface), with a high confidence level (± 6 mW/m2), NOx 17.5 mW/m2 with a low confidence level (± 14) and contrail cirrus 57.4 mW/m2, also with a low confidence level (± 40). All factors combined represented 43.5 mW/m2 (1.27 that of CO2 alone) excluding contrail cirrus and 101 mW/m2 (±45) including them, 3.5% of the anthropogenic ERF of 2290 mW/m2 (± 1100).",1
"Between 1960 and 2018, RPKs increased from 109 to 8,269 billion.In 1992, aircraft emissions represented 2% of all man-made CO2 emissions, having accumulated a little more than 1% of the total man-made CO2 increase over 50 years. By 2015, aviation accounted for 2.5% of global CO2 emissions. In 2018, global commercial operations emitted 918 million tonnes (Mt) of CO2, 2.4% of all CO2 emissions: 747 Mt for passenger transport and 171 Mt for freight operations. Between 1960 and 2018, CO2 emissions increased 6.8 times from 152 to 1,034 million tonnes per year.",1
"Emissions from flights rose by 32% between 2013 and 2018. Between 1990 and 2006, greenhouse gas emissions from aviation increased by 87% in the European Union. In 2010, about 60% of aviation emissions came from international flights, which are outside the emission reduction targets of the Kyoto Protocol. International flights are not covered by the Paris Agreement, either, to avoid a patchwork of individual country regulations. That agreement was adopted by the International Civil Aviation Organization, however, capping airlines carbon emissions to the year 2020 level, while allowing airlines to buy carbon credits from other industries and projects.In",1
"1992, aircraft radiative forcing was estimated by the IPCC at 3.5% of the total man-made radiative forcing.",1
"ICAO targets a 2% efficiency improvement per year between 2013 and 2050, while the IATA targets 1.5% for 2009–2020 and to cut net CO2 emissions in half by 2050 relative to 2005.",1
"In 1999, the IPCC estimated aviation's radiative forcing may represent 190 mW/m2 or 5% of the total man-made radiative forcing in 2050, with the uncertainty ranging from 100 to 500 mW/m2. If other industries achieve significant reductions in greenhouse gas emissions over time, aviation's share, as a proportion of the remaining emissions, could rise. Alice Bows-Larkin estimated that the annual global CO2 emissions budget would be entirely consumed by aviation emissions to keep the climate change temperature increase below 2 °C by mid-century.",1
"Sleep disruption can be reduced by banning or restricting flying at night, but disturbance progressively decreases and legislation differs across countries.The ICAO Chapter 14 noise standard applies for aeroplanes submitted for certification after 31 December 2017, and after 31 December 2020 for aircraft below 55 t (121,000 lb), 7 EPNdB (cumulative) quieter than Chapter4. The FAA Stage 5 noise standards are equivalent. Higher bypass ratio engines produce less noise. The PW1000G is presented as 75% quieter than previous engines. Serrated edges or 'chevrons' on the back of the nacelle reduce noise.A",1
"Low oxygen concentrations reduce usable aquatic habitat because organisms die if they cannot move to areas with sufficient oxygen levels. Bottom feeder populations can be reduced or eliminated by low DO levels, changing a community's species profile or altering critical food-web interactions.: 2–30 Glycol-based deicing fluids are toxic to humans and other mammals. Research into non-toxic alternative deicing fluids is ongoing. Aviation is the main human source of ozone, a respiratory health hazard, causing an estimated 6,800 premature deaths per year.Aircraft engines emit ultrafine particles (UFPs) in and near airports, as does ground support equipment.",1
"The initiative is led by ACI Europe, ASD Europe, A4E, CANSO and ERA. This would apply to flights within and departing the European single market and the UK.In October 2021, the IATA committed to net-zero carbon emissions by 2050. In 2022, the ICAO agreed to support a net-zero carbon emission target for 2050.The aviation sector could be decarbonized by 2050 with moderate demand growth, continuous efficiency improvements, new short-haul engines, higher SAF production and CO2 removal to compensate for non-CO2 forcing.",1
"Projected cost decreases of green hydrogen and carbon capture could make synthetic fuels more affordable, and lower feedstock costs and higher conversion efficiencies would help FT and HEFA biofuels. Policy incentives like cleaner aviation fuel tax credits and low-carbon fuel standards could induce improvements, and carbon pricing could render SAFs more competitive, accelerating their deployment and reducing their costs through learning and economies of scale.According to a 2023 Royal Society study, reaching net zero would need replacing fossil aviation fuel with a low or zero carbon energy source, as battery technologies are unlikely to give enough specific energy.Biofuels",1
"its Sixth Assessment Report, the IPCC notes that sustainable biofuels, low-emissions hydrogen, and derivatives (including ammonia and synthetic fuels) can support mitigation of CO2 emissions but some hard-to-abate residual GHG emissions remain and would need to be counterbalanced by deployment of carbon dioxide removal methods. On 29 March 2003, during a Senate hearing, hydrogen propulsion proponents like ZeroAvia or Universal Hydrogen bemoaned the incumbents like GE Aerospace or Boeing were supporting sustainable aviation fuel (SAF) because it does not require major changes to existing infrastructure.An",1
April 2023 report of the Sustainable Aero Lab estimate current in-production aircraft will be the vast majority of the 2050 fleet as electric aircraft will not have enough range and hydrogen aircraft will not be available soon enough : the main decarbonisation drivers will be SAF ; replacing regional jets with turboprop aircraft ; and incentives to replace older jets with new generation ones.,1
"Electric aircraft operations do not produce any emissions and electricity can be generated by renewable energy. Lithium-ion batteries including packaging and accessories gives a 160 Wh/kg energy density while aviation fuel gives 12,500 Wh/kg. As electric machines and converters are more efficient, their shaft power available is closer to 145 Wh/kg of battery while a gas turbine gives 6,545 Wh/kg of fuel: a 45:1 ratio. For Collins Aerospace, this 1:50 ratio forbids electric propulsion for long-range aircraft. By November 2019, the German Aerospace Center estimated large electric planes could be available by 2040.",1
"Large, long-haul aircraft are unlikely to become electric before 2070 or within the 21st century, whilst smaller aircraft can be electrified. As of May 2020, the largest electric airplane was a modified Cessna 208B Caravan. For the UK's Committee on Climate Change (CCC), huge technology shifts are uncertain, but consultancy Roland Berger points to 80 new electric aircraft programmes in 2016–2018, all-electric for the smaller two-thirds and hybrid for larger aircraft, with forecast commercial service dates in the early 2030s on short-haul routes like London to Paris, with all-electric aircraft not expected before 2045.",1
"Berger predicts a 24% CO2 share for aviation by 2050 if fuel efficiency improves by 1% per year and if there are no electric or hybrid aircraft, dropping to 3–6% if 10-year-old aircraft are replaced by electric or hybrid aircraft due to regulatory constraints, starting in 2030, to reach 70% of the 2050 fleet. This would greatly reduce the value of the existing fleet of aircraft, however. Limits to the supply of battery cells could hamper their aviation adoption, as they compete with other industries like electric vehicles. Lithium-ion batteries have proven fragile and fire-prone and their capacity deteriorates with age.",1
"However, alternatives are being pursued, such as sodium-ion batteries.",1
"A short-range aircraft (< 2,000 km, 1,100 nmi) with hybrid Fuel cell/Turbines could reduce climate impact by 70-80% for a 20-30% additional cost, a medium-range airliner with H2 turbines could have a 50-60% reduced climate impact for a 30-40% overcost, and a long-range aircraft (> 7,000 km, 3,800 nmi) also with H2 turbines could reduce climate impact by 40-50% for a 40-50% additional cost. Research and development would be required, in aircraft technology and into hydrogen infrastructure, regulations and certification standards.",1
"The Potsdam Institute for Climate Impact Research reported a €800–1,200 mitigation cost per ton of CO2 for hydrogen-based e-fuels. Those could be reduced to €20–270 per ton of CO2 in 2050, but maybe not early enough to replace fossil fuels.Climate policies could bear the risk of e-fuel uncertain availability, and Hydrogen and e-fuels may be prioritised when direct electrification is inaccessible.",1
